,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city,day,dist
0,25.439999999999998,69,1018,very heavy rain,1435390925,1.29,14.5002,Faenza,2015-06-27 09:42:05,37
1,26.379999999999995,73,1017,very heavy rain,1435394243,2.1,100,Faenza,2015-06-27 10:37:23,37
2,27.700000000000045,69,1017,very heavy rain,1435399019,3.1,120,Faenza,2015-06-27 11:56:59,37
3,29.04000000000002,61,1016,very heavy rain,1435402422,3.1,110,Faenza,2015-06-27 12:53:42,37
4,29.110000000000014,69,1016,very heavy rain,1435406058,3.6,110,Faenza,2015-06-27 13:54:18,37
5,29.33000000000004,65,1015,very heavy rain,1435409704,5.7,110,Faenza,2015-06-27 14:55:04,37
6,29.200000000000045,65,1014,very heavy rain,1435416898,5.1,110,Faenza,2015-06-27 16:54:58,37
7,28.879999999999995,65,1014,very heavy rain,1435420542,6.2,120,Faenza,2015-06-27 17:55:42,37
8,27.53000000000003,65,1014,very heavy rain,1435424296,6.7,120,Faenza,2015-06-27 18:58:16,37
9,26.120000000000005,73,1013,very heavy rain,1435427936,6.2,120,Faenza,2015-06-27 19:58:56,37
10,22.32000000000005,94,1015,very heavy rain,1435438357,2.6,90,Faenza,2015-06-27 22:52:37,37
11,21.379999999999995,83,1016,very heavy rain,1435442241,5.7,90,Faenza,2015-06-27 23:57:21,37
12,21.160000000000025,83,1016,very heavy rain,1435445863,2.1,210,Faenza,2015-06-28 00:57:43,37
13,20.0,94,1016,very heavy rain,1435453232,1.3900000000000001,218.504,Faenza,2015-06-28 03:00:32,37
14,19.480000000000018,93,1016,very heavy rain,1435456487,2.1,330,Faenza,2015-06-28 03:54:47,37
15,19.160000000000025,93,1016,very heavy rain,1435460042,1.5,320,Faenza,2015-06-28 04:54:02,37
16,18.620000000000005,93,1016,very heavy rain,1435463880,0.5,300,Faenza,2015-06-28 05:58:00,37
17,19.340000000000032,88,1016,very heavy rain,1435467179,0.5,270,Faenza,2015-06-28 06:52:59,37
18,21.05000000000001,88,1016,very heavy rain,1435470851,2.1,260,Faenza,2015-06-28 07:54:11,37
