,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city,day,dist
0,24.860000000000014,61,1017,very heavy rain,1435390925,2.01,159.5,Ravenna,2015-06-27 09:42:05,8
1,25.710000000000036,73,1017,very heavy rain,1435394244,2.1,100,Ravenna,2015-06-27 10:37:24,8
2,26.410000000000025,61,1017,very heavy rain,1435399021,4.6,80,Ravenna,2015-06-27 11:57:01,8
3,28.29000000000002,54,1016,very heavy rain,1435402423,4.6,90,Ravenna,2015-06-27 12:53:43,8
4,28.470000000000027,54,1016,very heavy rain,1435406060,6.2,80,Ravenna,2015-06-27 13:54:20,8
5,27.730000000000018,61,1015,very heavy rain,1435409706,6.7,80,Ravenna,2015-06-27 14:55:06,8
6,27.370000000000005,57,1014,very heavy rain,1435416900,6.7,90,Ravenna,2015-06-27 16:55:00,8
7,27.350000000000023,57,1014,very heavy rain,1435420543,5.7,90,Ravenna,2015-06-27 17:55:43,8
8,27.129999999999995,61,1013,very heavy rain,1435424297,4.6,90,Ravenna,2015-06-27 18:58:17,8
9,26.03000000000003,60,1014,very heavy rain,1435427938,2.06,97,Ravenna,2015-06-27 19:58:58,8
10,23.390000000000043,79,1016,very heavy rain,1435438359,2.06,89,Ravenna,2015-06-27 22:52:39,8
11,22.82000000000005,80,1016,very heavy rain,1435442245,2.86,88.0147,Ravenna,2015-06-27 23:57:25,8
12,21.590000000000032,81,1016,very heavy rain,1435445866,2.01,107.004,Ravenna,2015-06-28 00:57:46,8
13,19.810000000000002,81,1016,very heavy rain,1435453234,2.01,107.004,Ravenna,2015-06-28 03:00:34,8
14,19.200000000000045,82,1016,very heavy rain,1435456489,1.06,132.503,Ravenna,2015-06-28 03:54:49,8
15,18.680000000000007,88,1015,very heavy rain,1435460044,1.06,132.503,Ravenna,2015-06-28 04:54:04,8
16,18.220000000000027,85,1016,very heavy rain,1435463895,1.06,132.503,Ravenna,2015-06-28 05:58:15,8
17,19.200000000000045,87,1016,very heavy rain,1435467179,1.54,251,Ravenna,2015-06-28 06:52:59,8
